Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
Q60591;Q60591-2	Q60591;Q60591-2;Q60591-4	NFAC2_MOUSE	Nfatc2	Nuclear factor of activated T-cells, cytoplasmic 2	10828.4	11848.5	10525	43720.7
Q60592	Q60592	MAST2_MOUSE	Mast2	Microtubule-associated serine/threonine-protein kinase 2	11198.7	6635.71	3807.73	9096.72
Q60596	Q60596	XRCC1_MOUSE	Xrcc1	DNA repair protein XRCC1	12937.7	6697.72	12282.7	23025.7
Q60597	Q60597;Q60597-2;Q60597-3;Q60597-4	ODO1_MOUSE	Ogdh	2-oxoglutarate dehydrogenase complex component E1	18983.2	22406.5	27167	24391.4
Q60605;Q60605-2	Q60605;Q60605-2	MYL6_MOUSE	Myl6	Myosin light polypeptide 6	84298.7	82497.3	100023	99035.2
Q60610	Q60610	TIAM1_MOUSE	Tiam1	Rho guanine nucleotide exchange factor TIAM1	10665.8	8340.67	8448.54	10454.7
Q60631	Q60631	GRB2_MOUSE	Grb2	Growth factor receptor-bound protein 2	7727.34	9142.61	13753.9	11833.8
Q60634;Q60634-2;Q60634-3	Q60634;Q60634-2;Q60634-3	FLOT2_MOUSE	Flot2	Flotillin-2	13718.8	10199.1	7088.22	11680.9
Q60636;Q60636-2;Q60636-3;Q60636-4;Q60636-5	Q60636;Q60636-2;Q60636-3;Q60636-4;Q60636-5	PRDM1_MOUSE	Prdm1	PR domain zinc finger protein 1		47030.7	20980.4	
Q60648	Q60648	SAP3_MOUSE	Gm2a	Ganglioside GM2 activator	38969.4	43543.2	90777.7	57409.7
Q60665	Q60665	SKIL_MOUSE	Skil	Ski-like protein		3669.91	2377.32	3470.57
Q60668;Q60668-3	Q60668;Q60668-2;Q60668-3;Q60668-4	HNRPD_MOUSE	Hnrnpd	Heterogeneous nuclear ribonucleoprotein D0	245829	246759	215163	222548
Q60692	Q60692	PSB6_MOUSE	Psmb6	Proteasome subunit beta type-6	7572.42	10577.6	22958.8	13076.7
Q60695	Q60695	RGL1_MOUSE	Rgl1	Ral guanine nucleotide dissociation stimulator-like 1				5492.3
Q60710;Q60710-2	Q60710;Q60710-2	SAMH1_MOUSE	Samhd1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	2.28469e+06	1.59204e+06	2.53743e+06	3.62345e+06
Q60738	Q60738	ZNT1_MOUSE	Slc30a1	Proton-coupled zinc antiporter SLC30A1	1.06978e+06	523328	725173	815228
Q60749	Q60749	KHDR1_MOUSE	Khdrbs1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	8732.44	11584.4	20142	26682.8
Q60765	Q60765	ATF3_MOUSE	Atf3	Cyclic AMP-dependent transcription factor ATF-3	26528.7	23440	16072.3	45312.4
Q60766;Q60766-2	Q60766;Q60766-2	IRGM1_MOUSE	Irgm1	Immunity-related GTPase family M protein 1		3486.67		4469.14
Q60769	Q60769	TNAP3_MOUSE	Tnfaip3	Tumor necrosis factor alpha-induced protein 3	17058.1	249104	111100	38628.1
Q60778	Q60778	IKBB_MOUSE	Nfkbib	NF-kappa-B inhibitor beta	11020.8			17357
Q60780	Q60780	GAS7_MOUSE	Gas7	Growth arrest-specific protein 7	62805.9	95373.2	60251.6	58775.7
Q60790	Q60790	RASA3_MOUSE	Rasa3	Ras GTPase-activating protein 3	530140	744401	387920	362164
Q60795	Q60795	NF2L2_MOUSE	Nfe2l2	Nuclear factor erythroid 2-related factor 2	22826.6	15769.4		171498
Q60803	Q60803	TRAF3_MOUSE	Traf3	TNF receptor-associated factor 3		2137.95		11513.4
Q60805	Q60805	MERTK_MOUSE	Mertk	Tyrosine-protein kinase Mer	46960	20433.2	26103.4	88802.3
Q60821	Q60821	ZBT17_MOUSE	Zbtb17	Zinc finger and BTB domain-containing protein 17	288544	338754	216614	224937
Q60838	Q60838	DVL2_MOUSE	Dvl2	Segment polarity protein dishevelled homolog DVL-2	12641	10400.4	3254.9	24378.2
Q60855	Q60855	RIPK1_MOUSE	Ripk1	Receptor-interacting serine/threonine-protein kinase 1	116982	207248	122504	326539
Q60864	Q60864	STIP1_MOUSE	Stip1	Stress-induced-phosphoprotein 1	9246.1	13380	19306.8	10212
Q60865	Q60865	CAPR1_MOUSE	Caprin1	Caprin-1	3258.24	3423.39	5623.03	2997.66
Q60870	Q60870	REEP5_MOUSE	Reep5	Receptor expression-enhancing protein 5	8709.54	17076.6	11198.3	21176.4
Q60872;Q8BMJ3	Q60872;Q8BMJ3	IF1AX_MOUSE;IF1A_MOUSE	Eif1a;Eif1ax	Eukaryotic translation initiation factor 1A	3291.23	4858.72	6747.86	
Q60875;Q60875-4;Q60875-5	Q60875;Q60875-4;Q60875-5	ARHG2_MOUSE	Arhgef2	Rho guanine nucleotide exchange factor 2	399158	578883	314758	333391
Q60876	Q60876	4EBP1_MOUSE	Eif4ebp1	Eukaryotic translation initiation factor 4E-binding protein 1	42568.2	30425.7	19085.7	47430.3
Q60902;Q60902-2;Q60902-4	Q60902;Q60902-2;Q60902-3;Q60902-4	EP15R_MOUSE	Eps15l1	Epidermal growth factor receptor substrate 15-like 1	10921.7	14932.9	34094.8	17906.6
Q60929-3	Q60929;Q60929-2;Q60929-3	MEF2A_MOUSE	Mef2a	Isoform 3 of Myocyte-specific enhancer factor 2A	130986	90095	81754.5	184447
Q60929;Q60929-2	Q60929;Q60929-2	MEF2A_MOUSE	Mef2a	Myocyte-specific enhancer factor 2A	9470.18	9677.3	8393.72	22588.2
Q60930	Q60930	VDAC2_MOUSE	Vdac2	Voltage-dependent anion-selective channel protein 2	92067.1	67777.3	94072.2	67619.8
Q60931	Q60931	VDAC3_MOUSE	Vdac3	Voltage-dependent anion-selective channel protein 3	15332.8	9405.23	31705.8	17152.3
Q60932;Q60932-2	Q60932;Q60932-2	VDAC1_MOUSE	Vdac1	Voltage-dependent anion-selective channel protein 1	68959.9	65620.8	86456.4	66912.3
Q60949;Q60949-2	Q60949;Q60949-2	TBCD1_MOUSE	Tbc1d1	TBC1 domain family member 1	156189	97592.6	81142.6	215737
Q60953;Q60953-2	Q60953;Q60953-2	PML_MOUSE	Pml	Protein PML	1.42126e+06	1.47427e+06	1.50877e+06	1.26251e+06
Q60972	Q60972;Q60973	RBBP4_MOUSE	Rbbp4	Histone-binding protein RBBP4	11772.8	18639.3	21053.8	15103.3
Q60973	Q60973	RBBP7_MOUSE	Rbbp7	Histone-binding protein RBBP7			3087.56	1629.76
Q60974;Q60974-2	Q60974;Q60974-2	NCOR1_MOUSE	Ncor1	Nuclear receptor corepressor 1	29643.6	47189.7	29979.6	35559.3
Q60980	Q60980	KLF3_MOUSE	Klf3	Krueppel-like factor 3	28083.9	31202.7	33258.1	12083.2
Q60989	Q60989	XIAP_MOUSE	Xiap	E3 ubiquitin-protein ligase XIAP			2308.31	6006.61
Q61029;Q61029-3	Q61029;Q61029-2;Q61029-3;Q61029-4;Q61033-2	LAP2B_MOUSE	Tmpo	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma	111113	80997.6	89322.2	97745.7
Q61037-6;Q61037-7	Q61037;Q61037-2;Q61037-3;Q61037-4;Q61037-5;Q61037-6;Q61037-7	TSC2_MOUSE	Tsc2	Isoform E of Tuberin	98107.5	110339	88598	191152
Q61043;Q61043-1;Q61043-2	Q61043;Q61043-1;Q61043-2;Q61043-4	NIN_MOUSE	Nin	Ninein	88082.3	97285.1	84514.5	105383
Q61070	Q61070	EI24_MOUSE	Ei24	Etoposide-induced protein 2.4	30237.5	30572.2	25913.5	14216
Q61074	Q61074	PPM1G_MOUSE	Ppm1g	Protein phosphatase 1G	63940.6	52199.1	11971	40231.1
Q61083	Q61083	M3K2_MOUSE	Map3k2	Mitogen-activated protein kinase kinase kinase 2	66839.8	56999.8	37503	63445
Q61084	Q61084	M3K3_MOUSE	Map3k3	Mitogen-activated protein kinase kinase kinase 3	57550	119539	73913.3	109223
Q61093	Q61093	CY24B_MOUSE	Cybb	Cytochrome b-245 heavy chain	21000.7	21325.2	36233	27545.8
Q61103	Q61103	REQU_MOUSE	Dpf2	Zinc finger protein ubi-d4	292994	138589	191469	123135
Q61112	Q61112	CAB45_MOUSE	Sdf4	45 kDa calcium-binding protein	27911.1	22798.8	12587.7	26576
Q61124	Q61124	CLN3_MOUSE	Cln3	Battenin	1.18915e+06	902018	1.05098e+06	715621
Q61127;Q61127-2	Q61127;Q61127-2	NAB2_MOUSE	Nab2	NGFI-A-binding protein 2	44725.2	69157.9	37138.4	205869
Q61136	Q61136	PRP4B_MOUSE	Prpf4b	Serine/threonine-protein kinase PRP4 homolog	2.55335e+06	2.31912e+06	2.21164e+06	2.34085e+06
Q61144;Q61144-2	Q61144;Q61144-2	PSN2_MOUSE	Psen2	Presenilin-2	409931	410327	549025	510051
Q61160	Q61160	FADD_MOUSE	Fadd	FAS-associated death domain protein	11251.3	16726.9	12367.5	16988.6
Q61165	Q61165	SL9A1_MOUSE	Slc9a1	Sodium/hydrogen exchanger 1	357179	607602	555507	393901
Q61166	Q61166	MARE1_MOUSE	Mapre1	Microtubule-associated protein RP/EB family member 1	22597.5	13139.7	19864.2	15249.8
Q61171	Q61171	PRDX2_MOUSE	Prdx2	Peroxiredoxin-2	21766.2	31470.9	39110.9	34742.8
Q61176	Q61176	ARGI1_MOUSE	Arg1	Arginase-1	52476.3	48674.5	74092	95709.6
Q61190	Q61190	I10R2_MOUSE	Il10rb	Interleukin-10 receptor subunit beta	55544.9	38160.2	40463.2	38259.3
Q61191	Q61191	HCFC1_MOUSE	Hcfc1	Host cell factor 1	28578.3	83301.3	52178.3	167762
Q61193	Q61193	RGL2_MOUSE	Rgl2	Ral guanine nucleotide dissociation stimulator-like 2	67662.9	54248.6	47004.6	57434.5
Q61194;Q61194-2	Q61194;Q61194-2	P3C2A_MOUSE	Pik3c2a	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha		9064.86	4302.55	26297.8
Q61207	Q61207	SAP_MOUSE	Psap	Prosaposin	2.30366e+06	2.1267e+06	4.41854e+06	4.62012e+06
Q61210-5	Q61210-5	ARHG1_MOUSE	Arhgef1	Isoform 5 of Rho guanine nucleotide exchange factor 1	70054.4	45048.2	43980.8	77391.4
Q61214;Q9Z188;Q9Z188-2;Q9Z188-3	Q61214;Q9Z188;Q9Z188-2;Q9Z188-3	DYR1A_MOUSE;DYR1B_MOUSE	Dyrk1a;Dyrk1b	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	746593	653233	364862	486915
Q61216;Q61216-2	Q61216;Q61216-2	MRE11_MOUSE	Mre11	Double-strand break repair protein MRE11	45351.7	37448	25086.4	79530.5
Q61233	Q61233	PLSL_MOUSE	Lcp1	Plastin-2	291563	242417	407271	356987
Q61234	Q61234	SNTA1_MOUSE	Snta1	Alpha-1-syntrophin	9100.38	8756.01	8128.42	7761.7
Q61235	Q61235	SNTB2_MOUSE	Sntb2	Beta-2-syntrophin	564830	537145	529623	422234
Q61263	Q61263	SOAT1_MOUSE	Soat1	Sterol O-acyltransferase 1	22389.4	14645.6	25216.1	22243.4
Q61286-2	Q61286;Q61286-2	HTF4_MOUSE	Tcf12	Isoform ALF1A of Transcription factor 12	58182	56638.2	28528.3	97093.2
Q61288	Q61288	ACVL1_MOUSE	Acvrl1	Serine/threonine-protein kinase receptor R3	26052.3	21502.3	26237.6	28112.8
Q61316	Q61316	HSP74_MOUSE	Hspa4	Heat shock 70 kDa protein 4	9167.69	11297.5	10880.6	8030.18
Q61334	Q61334	BAP29_MOUSE	Bcap29	B-cell receptor-associated protein 29	2471.49	3538.63		4437.4
Q61335	Q61335	BAP31_MOUSE	Bcap31	B-cell receptor-associated protein 31	23710.5	14599.6	19220.3	23427.3
Q61337	Q61337	BAD_MOUSE	Bad	Bcl2-associated agonist of cell death	114245	142677	106331	81883.8
Q61420	Q61420	S35A1_MOUSE	Slc35a1	CMP-sialic acid transporter				6124.55
Q61425	Q61425	HCDH_MOUSE	Hadh	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	10829.7	7224.07	24102.5	10769.3
Q61450	Q61450	LRB4B_MOUSE	Lilrb4b	Leukocyte immunoglobulin-like receptor subfamily B member 4B	483314	722710	454065	1.27655e+06
Q61462	Q61462	CY24A_MOUSE	Cyba	Cytochrome b-245 light chain	20098.3	16476.4	33132.2	21220.5
Q61464;Q61464-4	Q61464;Q61464-2;Q61464-4;Q61464-5;Q61464-7	ZN638_MOUSE	Znf638	Zinc finger protein 638	65081.3	60669.2	46500.3	58822.5
Q61490	Q61490	CD166_MOUSE	Alcam	CD166 antigen	10998.4	9826.04	17451.4	12400.3
Q61508;Q61508-2	Q61508;Q61508-2	ECM1_MOUSE	Ecm1	Extracellular matrix protein 1	25502.8		12820.4	19723.2
Q61510	Q61510	TRI25_MOUSE	Trim25	E3 ubiquitin/ISG15 ligase TRIM25	6446.26	11803.6	8550.99	37564.6
Q61532	Q61532	MK06_MOUSE	Mapk6	Mitogen-activated protein kinase 6	2174.61	3154.65	3636.63	9042.61
Q61543	Q61543	GSLG1_MOUSE	Glg1	Golgi apparatus protein 1	44291.1	42840	27881.7	34227.1
Q61545	Q61545	EWS_MOUSE	Ewsr1	RNA-binding protein EWS	15615.4	13267.4	28807	17416.2
Q61549	Q61549	AGRE1_MOUSE	Adgre1	Adhesion G protein-coupled receptor E1	10740.2	26505.5	37686	29611.8
Q61550	Q61550	RAD21_MOUSE	Rad21	Double-strand-break repair protein rad21 homolog	15911.9	18539.6	16772.9	17013.8
Q61553	Q61553	FSCN1_MOUSE	Fscn1	Fascin	7114.77	4028.49	30935.6	3542.29
Q61584;Q61584-3;Q61584-4;Q61584-5;Q61584-6;Q61584-7	Q61584;Q61584-3;Q61584-4;Q61584-5;Q61584-6;Q61584-7	FXR1_MOUSE	Fxr1	RNA-binding protein FXR1	10991.5	14051.8	7978.47	14200.3
Q61586	Q61586	GPAT1_MOUSE	Gpam	Glycerol-3-phosphate acyltransferase 1, mitochondrial	30394.3	31904.2	25345.4	14974.2
Q61595;Q61595-10;Q61595-11;Q61595-12;Q61595-13;Q61595-14;Q61595-15;Q61595-16;Q61595-2;Q61595-3;Q61595-4;Q61595-5;Q61595-6;Q61595-7;Q61595-8;Q61595-9	Q61595;Q61595-10;Q61595-11;Q61595-12;Q61595-13;Q61595-14;Q61595-15;Q61595-16;Q61595-2;Q61595-3;Q61595-4;Q61595-5;Q61595-6;Q61595-7;Q61595-8;Q61595-9	KTN1_MOUSE	Ktn1	Kinectin	31909	29984.3	44074.1	22775.5
Q61598;Q61598-2	Q61598;Q61598-2	GDIB_MOUSE	Gdi2	Rab GDP dissociation inhibitor beta	65329.1	53257.7	79887.5	67633.6
Q61599	Q61599	GDIR2_MOUSE	Arhgdib	Rho GDP-dissociation inhibitor 2	139011	83055	82472.3	77516.2
Q61656	Q61656	DDX5_MOUSE	Ddx5	Probable ATP-dependent RNA helicase DDX5	25336.6	23262.6	54662.4	37609.8
Q61686	Q61686	CBX5_MOUSE	Cbx5	Chromobox protein homolog 5	33864.9	52364.2	38615	54600.2
Q61687	Q61687	ATRX_MOUSE	Atrx	Transcriptional regulator ATRX	330424	375841	306003	243399
Q61699;Q61699-2	Q61699;Q61699-2	HS105_MOUSE	Hsph1	Heat shock protein 105 kDa	27077.8	19153.7	10127.4	26059.2
Q61702	Q61702	ITIH1_MOUSE	Itih1	Inter-alpha-trypsin inhibitor heavy chain H1	13231.6	7244.73	1747.8	5642.16
Q61703	Q61703	ITIH2_MOUSE	Itih2	Inter-alpha-trypsin inhibitor heavy chain H2	261436	46566.3	17529.1	10803.3
Q61704	Q61704	ITIH3_MOUSE	Itih3	Inter-alpha-trypsin inhibitor heavy chain H3	1.90658e+06	388796	127895	98584.2
Q61712	Q61712	DNJC1_MOUSE	Dnajc1	DnaJ homolog subfamily C member 1	2.80672e+06	3.94708e+06	2.63376e+06	1.38035e+06
Q61739;Q61739-2	Q61739;Q61739-2	ITA6_MOUSE	Itga6	Integrin alpha-6		5222.81	9890.45	9983.34
Q61753	Q61753	SERA_MOUSE	Phgdh	D-3-phosphoglycerate dehydrogenase	49327.5	40064	31143.4	16294.5
Q61768	Q61768	KINH_MOUSE	Kif5b	Kinesin-1 heavy chain	4428.05		3024.37	8205.8
Q61771	Q61771	KIF3B_MOUSE	Kif3b	Kinesin-like protein KIF3B	14810.5	40031.3	23246.6	15603.1
Q61792	Q61792	LASP1_MOUSE	Lasp1	LIM and SH3 domain protein 1	5248.8	5742.22	5142.76	9701.35
Q61810	Q61810	LTBP3_MOUSE	Ltbp3	Latent-transforming growth factor beta-binding protein 3	20233	19357.3	10683.4	9470.3
Q61818;Q61818-2	Q61818;Q61818-2	RAI1_MOUSE	Rai1	Retinoic acid-induced protein 1	34836.5	49744.6	42776.7	38794.4
Q61823	Q61823	PDCD4_MOUSE	Pdcd4	Programmed cell death protein 4	26313.5	14964.4	12040.6	32027.2
Q61830	Q61830	MRC1_MOUSE	Mrc1	Macrophage mannose receptor 1	6139.71	5074.1	12850.4	8469.24
Q61879	Q61879	MYH10_MOUSE	Myh10	Myosin-10	29846.8	21237.1	9041.83	20359.1
Q61937	Q61937	NPM_MOUSE	Npm1	Nucleophosmin	95051.9	115080	158409	117100
Q61941	Q61941	NNTM_MOUSE	Nnt	NAD(P) transhydrogenase, mitochondrial	5901.97	4888.52	9486.38	6414.82
Q61990;Q61990-3	Q61990;Q61990-3	PCBP2_MOUSE	Pcbp2	Poly(rC)-binding protein 2	28907.5	19552.9	63335.6	60516.9
Q62011	Q62011	PDPN_MOUSE	Pdpn	Podoplanin	7006.97	3933.75	5528.92	3893.47
Q62018	Q62018;Q62018-3	CTR9_MOUSE	Ctr9	RNA polymerase-associated protein CTR9 homolog	771325	600634	584864	561050
Q62035	Q62035	PTAFR_MOUSE	Ptafr	Platelet-activating factor receptor	200919	98240.4	252962	82146.1
Q62048;Q62048-2	Q62048;Q62048-2	PEA15_MOUSE	Pea15	Astrocytic phosphoprotein PEA-15	173003	262002	171875	396449
Q62073	Q62073	M3K7_MOUSE	Map3k7	Mitogen-activated protein kinase kinase kinase 7	54868.3	48184.1	30781.3	109887
Q62074	Q62074	KPCI_MOUSE	Prkci	Protein kinase C iota type	20673.9	4304.14	17173.2	32145.6
Q62086	Q62086	PON2_MOUSE	Pon2	Serum paraoxonase/arylesterase 2	6241.96	6097.71	6729.66	8151.66
Q62093	Q62093	SRSF2_MOUSE	Srsf2	Serine/arginine-rich splicing factor 2	243749	220883	218580	216609
Q62120	Q62120	JAK2_MOUSE	Jak2	Tyrosine-protein kinase JAK2	85272.3	91268.1	74953.2	67017.7
Q62130	Q62130	PTN14_MOUSE	Ptpn14	Tyrosine-protein phosphatase non-receptor type 14	35170.9	22996.9	18372.8	16510
Q62151;Q62151-10;Q62151-2;Q62151-3;Q62151-4;Q62151-5	Q62151;Q62151-10;Q62151-2;Q62151-3;Q62151-4;Q62151-5	RAGE_MOUSE	Ager	Advanced glycosylation end product-specific receptor	148682	127788	73505.5	33653.8
Q62159;Q9QUI0	P62746;Q62159;Q9QUI0	RHOA_MOUSE;RHOC_MOUSE	Rhoa;Rhoc	Rho-related GTP-binding protein RhoC	27852.3	35617.2	45915.9	31075.2
Q62167	P16381;Q61496;Q62095;Q62167	DDX3X_MOUSE	Ddx3x	ATP-dependent RNA helicase DDX3X	7945.21	9616.76	10055	20613.9
Q62172	Q62172	RBP1_MOUSE	Ralbp1	RalA-binding protein 1	114497	106775	116166	144289
Q62186	Q62186	SSRD_MOUSE	Ssr4	Translocon-associated protein subunit delta	8555.77	6518.67	32011.9	50610.9
Q62187	Q62187	TTF1_MOUSE	Ttf1	Transcription termination factor 1	54970.8	56587.7	45616.9	44299.9
Q62188	Q62188	DPYL3_MOUSE	Dpysl3	Dihydropyrimidinase-related protein 3	89499.4	88514.1	58000	38884.3
Q62189	Q62189	SNRPA_MOUSE	Snrpa	U1 small nuclear ribonucleoprotein A	11750.4	12018.1	15471.5	10603.5
Q62192	Q62192	CD180_MOUSE	Cd180	CD180 antigen	19831.6	11145.8	15101.9	11130
Q62219;Q62219-2;Q62219-3;Q62219-4;Q62219-5;Q62219-7	Q62219;Q62219-10;Q62219-2;Q62219-3;Q62219-4;Q62219-5;Q62219-7;Q62219-9	TGFI1_MOUSE	Tgfb1i1	Transforming growth factor beta-1-induced transcript 1 protein	126020	61806	72757.4	56163.4
Q62230	Q62230;Q62230-3	SN_MOUSE	Siglec1	Sialoadhesin	18444.8	13702.4	28389.6	10517.3
Q62261	Q62261	SPTB2_MOUSE	Sptbn1	Spectrin beta chain, non-erythrocytic 1	6.63007e+06	6.07735e+06	5.28809e+06	3.09905e+06
Q62273	Q62273	S26A2_MOUSE	Slc26a2	Sulfate transporter	7610.02	11714.1	27967.4	22179.8
Q62311	Q62311	TAF6_MOUSE	Taf6	Transcription initiation factor TFIID subunit 6	141309	271631	251240	120680
Q62313	Q62313;Q62314	TGON1_MOUSE	Tgoln1	Trans-Golgi network integral membrane protein 1	1.01718e+06	1.04615e+06	741648	454633
Q62318	Q62318;Q62318-2	TIF1B_MOUSE	Trim28	Transcription intermediary factor 1-beta	65920.4	70571.3	79606.9	89513.4
Q62351	Q62351	TFR1_MOUSE	Tfrc	Transferrin receptor protein 1	7694.63	8954.12	15088.2	9615.62
Q62376	Q62376	RU17_MOUSE	Snrnp70	U1 small nuclear ribonucleoprotein 70 kDa	79892.6	78174.6	109538	84817
Q62377	Q62377	U2AFM_MOUSE	Zrsr2	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2	24201.5	27551.1	23380.2	25914.9
Q62383	Q62383	SPT6H_MOUSE	Supt6h	Transcription elongation factor SPT6	23859.8	24802.5	17551.4	20735.1
Q62393;Q62393-2;Q62393-3	Q62393;Q62393-2;Q62393-3	TPD52_MOUSE	Tpd52	Tumor protein D52	16550.2	4260.18	8333	14997.7
Q62418	Q62418	DBNL_MOUSE	Dbnl	Drebrin-like protein	13891.5	7709.91	12178.6	16039.3
Q62419	Q62419	SH3G1_MOUSE	Sh3gl1	Endophilin-A2	34145.9		33920.5	80198.3
Q62422	Q62422	OSTF1_MOUSE	Ostf1	Osteoclast-stimulating factor 1	320764	495794	590359	432200
Q62425	Q62425	NDUA4_MOUSE	Ndufa4	Cytochrome c oxidase subunit NDUFA4	54974.3	54889.3	92202.3	87387
Q62426	Q62426	CYTB_MOUSE	Cstb	Cystatin-B	8361.96	7392.88	22441.8	18057.3
Q62433	Q62433	NDRG1_MOUSE	Ndrg1	Protein NDRG1	48058	36861.5	20504.6	52352.1
Q62441	Q62441	TLE4_MOUSE	Tle4	Transducin-like enhancer protein 4	65504.7	40956	45941.6	60249.4
Q62465	Q62465	VAT1_MOUSE	Vat1	Synaptic vesicle membrane protein VAT-1 homolog	66590.7	86564.2	119353	120524
Q62470;Q62470-2;Q62470-3	Q62470;Q62470-2;Q62470-3	ITA3_MOUSE	Itga3	Integrin alpha-3	3512.59			
Q62504;Q62504-2;Q62504-3	Q62504;Q62504-2;Q62504-3	MINT_MOUSE	Spen	Msx2-interacting protein	209001	279966	232704	174567
Q62523	Q62523	ZYX_MOUSE	Zyx	Zyxin	91613.9	163701	106940	266073
Q63829	Q63829	COMD3_MOUSE	Commd3	COMM domain-containing protein 3	9671.92	7646.42	5925.24	12932
Q63844	Q63844	MK03_MOUSE	Mapk3	Mitogen-activated protein kinase 3	6097.66			
Q63918	Q63918	CAVN2_MOUSE	Cavin2	Caveolae-associated protein 2	46169.4	76947.3	29029.9	44868
Q63943	Q63943;Q63943-2	MEF2D_MOUSE	Mef2d	Myocyte-specific enhancer factor 2D	58883.3	105816	77707.8	66285.9
Q64010;Q64010-2	Q64010;Q64010-2	CRK_MOUSE	Crk	Adapter molecule crk	34637	39323.8	20889.9	12704.6
Q64012;Q64012-2	Q64012;Q64012-2	RALY_MOUSE	Raly	RNA-binding protein Raly	2.99738e+06	3.55603e+06	3.9201e+06	2.83643e+06
Q64092;Q64092-2;Q64092-3;Q64092-4	Q64092;Q64092-2;Q64092-3;Q64092-4	TFE3_MOUSE	Tfe3	Transcription factor E3	36091.6	33518.9	28084.5	44351
Q640L3;Q640L3-2	Q640L3;Q640L3-2;Q640L3-3	CCPG1_MOUSE	Ccpg1	Cell cycle progression protein 1	80625.9	39862.5	31443.2	25122.7
Q640N2	Q640N2	AR13B_MOUSE	Arl13b	ADP-ribosylation factor-like protein 13B	14186.3	17901	15650.2	15084.7
Q640N3;Q640N3-2	Q640N3;Q640N3-2	RHG30_MOUSE	Arhgap30	Rho GTPase-activating protein 30		694347	662537	594381
Q640Q5	Q640Q5	PAN3_MOUSE	Pan3	PAN2-PAN3 deadenylation complex subunit Pan3	67469.1	20598.4	22480.5	30462.6
Q64127;Q64127-2	Q64127;Q64127-2	TIF1A_MOUSE	Trim24	Transcription intermediary factor 1-alpha	35835.3	44632.4	27843.2	20655.6
Q64152;Q64152-2	Q64152;Q64152-2	BTF3_MOUSE	Btf3	Transcription factor BTF3	15400.2	13716.3	20367.9	
Q64213;Q64213-2;Q64213-3	Q64213;Q64213-2;Q64213-3	SF01_MOUSE	Sf1	Splicing factor 1	4.55576e+06	4.37411e+06	3.49676e+06	2.47168e+06
Q64282	Q64282	IFIT1_MOUSE	Ifit1	Interferon-induced protein with tetratricopeptide repeats 1				9406.23
Q64311	Q64311	NTAN1_MOUSE	Ntan1	Protein N-terminal asparagine amidohydrolase			3999.28	61033.9
Q64337;Q64337-2	Q64337;Q64337-2	SQSTM_MOUSE	Sqstm1	Sequestosome-1	429553	829469	613981	1.05749e+06
Q64430	Q64430	ATP7A_MOUSE	Atp7a	Copper-transporting ATPase 1	26052.6	34606	27327	28440.8
Q64433	Q64433	CH10_MOUSE	Hspe1	10 kDa heat shock protein, mitochondrial	92855.5	84078.7	166892	141940
Q64455	Q64455	PTPRJ_MOUSE	Ptprj	Receptor-type tyrosine-protein phosphatase eta	51964.6	73793.3	57527.2	154072
Q64475	P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9;Q8CGP2-2	H2B1B_MOUSE	H2bc3	Histone H2B type 1-B	3.66281e+06	3.61371e+06	4.03779e+06	4.36685e+06
Q64478;Q6ZWY9	P10853;Q64478;Q6ZWY9;Q8CGP1	H2B1C_MOUSE;H2B1H_MOUSE	H2bc4;H2bc9	Histone H2B type 1-H	25792.5	94386.1	40556.6	26543.9
Q64511	Q64511	TOP2B_MOUSE	Top2b	DNA topoisomerase 2-beta	1.47024e+06	1.5795e+06	1.13043e+06	913574
Q64518-1	Q64518-1	AT2A3_MOUSE	Atp2a3	Isoform SERCA3B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3		20607.4	10099.4	10452.7
Q64520;Q64520-2	Q64520;Q64520-2	KGUA_MOUSE	Guk1	Guanylate kinase	16930.5	18048.7	14568.8	4877.26
Q64521	Q64521	GPDM_MOUSE	Gpd2	Glycerol-3-phosphate dehydrogenase, mitochondrial	64578.2	73376.9	64715.3	67280.8
