Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
Q9D6W8	Q9D6W8	BORC6_MOUSE	Borcs6	BLOC-1-related complex subunit 6	44333.3	42832.8	28233.7	63307.6
Q9D6Z1	Q9D6Z1	NOP56_MOUSE	Nop56	Nucleolar protein 56	1.82796e+06	2.26038e+06	1.73283e+06	1.70656e+06
Q9D706	Q9D706	RPAP3_MOUSE	Rpap3	RNA polymerase II-associated protein 3	30849.8	16077.4	9136.16	14307.8
Q9D711	Q9D711	PIR_MOUSE	Pir	Pirin	7554.37	6296.31	4013.14	3197.82
Q9D722	Q9D722	OSER1_MOUSE	Oser1	Oxidative stress-responsive serine-rich protein 1				29140.4
Q9D771	Q9D771	PACC1_MOUSE	Pacc1	Proton-activated chloride channel	12927.1	13645	33050.4	16088.7
Q9D772	Q9D772	F219A_MOUSE	Fam219a	Protein FAM219A	4607.14	18659.7	8821.6	16077.5
Q9D7N9	Q9D7N9	APMAP_MOUSE	Apmap	Adipocyte plasma membrane-associated protein		5850.5	10029.5	8888.13
Q9D7P6	Q9D7P6	ISCU_MOUSE	Iscu	Iron-sulfur cluster assembly enzyme ISCU	79260.5	57811.3	84705.4	41134
Q9D7X3	Q9D7X3	DUS3_MOUSE	Dusp3	Dual specificity protein phosphatase 3			2640.76	4613.68
Q9D819	Q9D819	IPYR_MOUSE	Ppa1	Inorganic pyrophosphatase			1832.8	5474.35
Q9D824	Q9D824;Q9D824-2;Q9D824-3	FIP1_MOUSE	Fip1l1	Pre-mRNA 3'-end-processing factor FIP1	319976	364993	287044	312799
Q9D842;Q9D842-2;Q9D842-3	Q9D842;Q9D842-2;Q9D842-3	APLF_MOUSE	Aplf	Aprataxin and PNK-like factor	23541.7	14852.4	9280.27	19624.6
Q9D855	Q9D855	QCR7_MOUSE	Uqcrb	Cytochrome b-c1 complex subunit 7	14225.5	12931.6	23250.8	15807.4
Q9D880	Q9D880	TIM50_MOUSE	Timm50	Mitochondrial import inner membrane translocase subunit TIM50	3332.35	7100.31	5119.5	6433.41
Q9D883	Q9D883	U2AF1_MOUSE	U2af1	Splicing factor U2AF 35 kDa subunit	183241	227581	176004	193250
Q9D8C2	Q9D8C2	TSN13_MOUSE	Tspan13	Tetraspanin-13	11501.3	9725.1	8550.84	9137.77
Q9D8E6	Q9D8E6	RL4_MOUSE	Rpl4	60S ribosomal protein L4	49316.2	56792.4	73873.9	44931.5
Q9D8M7;Q9D8M7-2	Q9D8M7;Q9D8M7-2	PHF10_MOUSE	Phf10	PHD finger protein 10	19235.6	24764.9	22375.2	20458.6
Q9D8N0	Q9D8N0	EF1G_MOUSE	Eef1g	Elongation factor 1-gamma	17917.1	12912.6	26273.2	22133.3
Q9D8N6	Q9D8N6	LIN37_MOUSE	Lin37	Protein lin-37 homolog	130322	162640	152903	172422
Q9D8T7	Q9D8T7	SLIRP_MOUSE	Slirp	SRA stem-loop-interacting RNA-binding protein, mitochondrial	42004	32116.9	16300.1	32177.8
Q9D8U8	Q9D8U8	SNX5_MOUSE	Snx5	Sorting nexin-5	25278.9	13603.3	18207	27195.8
Q9D8V0;Q9D8V0-3;Q9D8V0-4	Q9D8V0;Q9D8V0-3;Q9D8V0-4	HM13_MOUSE	Hm13	Minor histocompatibility antigen H13	7169.05	7164.6	20991.1	5455.02
Q9D8V7	Q9D8V7	SC11C_MOUSE	Sec11c	Signal peptidase complex catalytic subunit SEC11C	26277.3	23591.6	24157.6	23188.1
Q9D8Y0	Q9D8Y0	EFHD2_MOUSE	Efhd2	EF-hand domain-containing protein D2	122731	159611	155897	181464
Q9D8Y8;Q9D8Y8-2;Q9D8Y8-3	Q9D8Y8;Q9D8Y8-2;Q9D8Y8-3	ING5_MOUSE	Ing5	Inhibitor of growth protein 5	10690.7	17852.8	23120.6	23731.5
Q9D9K3	Q9D9K3	AVEN_MOUSE	Aven	Cell death regulator Aven	16595.2	13909.3		22124.1
Q9DA37	Q9DA37	SAMD8_MOUSE	Samd8	Sphingomyelin synthase-related protein 1	10231.3	17229.9	12389.1	41407
